thuoc_tinh,y_nghia,kieu_du_lieu,thang_do,so_gia_tri_duy_nhat,ti_le_thieu_%,gia_tri_min,gia_tri_max,vi_du
availability_90,,int64,,91,0.0,0.0,90.0,64
availability_365,,int64,,366,0.0,0.0,365.0,339
calendar_last_scraped,,str,,4,0.0,,,2026-06-15
number_of_reviews,,int64,,528,0.0,0.0,4502.0,10
number_of_reviews_ltm,,int64,,163,0.0,0.0,1225.0,1
number_of_reviews_l30d,,int64,,38,0.0,0.0,87.0,1
availability_eoy,,int64,,202,0.0,0.0,201.0,174
number_of_reviews_ly,,int64,,164,0.0,0.0,1557.0,0
estimated_occupancy_l365d,,int64,,50,0.0,0.0,255.0,60
estimated_revenue_l365d,,float64,,7417,28.9,0.0,1788741.0,6838.0
first_review,,str,,4595,28.29,,,2015-12-04
last_review,,str,,3268,28.29,,,2026-05-28
review_scores_rating,,float64,,155,28.29,0.0,5.0,4.8
review_scores_accuracy,,float64,,152,28.31,0.0,5.0,4.67
review_scores_cleanliness,,float64,,175,28.29,0.0,5.0,4.9
review_scores_checkin,,float64,,129,28.31,0.0,5.0,4.89
review_scores_communication,,float64,,144,28.3,0.0,5.0,5.0
review_scores_location,,float64,,146,28.32,0.0,5.0,4.78
review_scores_value,,float64,,166,28.32,0.0,5.0,4.78
license,,str,,2019,82.53,,,OSE-STRREG-0002027
instant_bookable,,float64,,0,100.0,,,
calculated_host_listings_count,,int64,,70,0.0,1.0,955.0,5
calculated_host_listings_count_entire_homes,,int64,,52,0.0,0.0,955.0,0
calculated_host_listings_count_private_rooms,,int64,,40,0.0,0.0,231.0,5
calculated_host_listings_count_shared_rooms,,int64,,10,0.0,0.0,22.0,0
reviews_per_month,,float64,,767,28.29,0.01,115.63,0.08
